Biomarker_1,Biomarker_2,Biomarker_3,AUC,se_97_Threshold,se_97_Sensitivity,se_97_Specificity,se_97_NPV,se_97_PPV,se_95_Threshold,se_95_Sensitivity,se_95_Specificity,se_95_NPV,se_95_PPV,max_sum_Threshold,max_sum_Sensitivity,max_sum_Specificity,max_sum_NPV,max_sum_PPV
Endometrial_thickness,MMP9_KPYM_norm,CLIC1_TIMP2_norm,0.9532,0.08081,1.00000,0.54545,1.00000,0.68354,0.15152,0.96296,0.65455,0.94737,0.73239,0.42424,0.85185,0.92727,0.86441,0.92000
Endometrial_thickness,KPYM_MMP9_norm,TIMP2_CLIC1_norm,0.9532,0.08081,1.00000,0.54545,1.00000,0.68354,0.15152,0.96296,0.65455,0.94737,0.73239,0.42424,0.85185,0.92727,0.86441,0.92000
Endometrial_thickness,KPYM_MMP9_norm,CLIC1_TIMP2_norm,0.9532,0.08081,1.00000,0.54545,1.00000,0.68354,0.15152,0.96296,0.65455,0.94737,0.73239,0.42424,0.85185,0.92727,0.86441,0.92000
Endometrial_thickness,MMP9_TIMP2_norm,PERM_CLIC1_norm,0.95301,0.10101,0.98246,0.53571,0.96774,0.68293,0.26263,0.94737,0.76786,0.93478,0.80597,0.67677,0.82456,0.98214,0.84615,0.97917
Endometrial_thickness,MMP9_TIMP2_norm,CLIC1_PERM_norm,0.95301,0.10101,0.98246,0.53571,0.96774,0.68293,0.26263,0.94737,0.76786,0.93478,0.80597,0.67677,0.82456,0.98214,0.84615,0.97917
Endometrial_thickness,TIMP2_MMP9_norm,PERM_CLIC1_norm,0.95301,0.10101,0.98246,0.53571,0.96774,0.68293,0.26263,0.94737,0.76786,0.93478,0.80597,0.67677,0.82456,0.98214,0.84615,0.97917
Endometrial_thickness,TIMP2_MMP9_norm,CLIC1_PERM_norm,0.95301,0.10101,0.98246,0.53571,0.96774,0.68293,0.26263,0.94737,0.76786,0.93478,0.80597,0.67677,0.82456,0.98214,0.84615,0.97917
Endometrial_thickness,MMP9_TIMP2_norm,KPYM_MVP_norm,0.95107,0.13131,0.98182,0.67273,0.97368,0.75000,0.25253,0.94545,0.81818,0.93750,0.83871,0.61616,0.81818,0.96364,0.84127,0.95745
Endometrial_thickness,MMP9_TIMP2_norm,MVP_KPYM_norm,0.95107,0.13131,0.98182,0.67273,0.97368,0.75000,0.25253,0.94545,0.81818,0.93750,0.83871,0.61616,0.81818,0.96364,0.84127,0.95745
Endometrial_thickness,KPYM_MVP_norm,TIMP2_MMP9_norm,0.95107,0.13131,0.98182,0.67273,0.97368,0.75000,0.25253,0.94545,0.81818,0.93750,0.83871,0.61616,0.81818,0.96364,0.84127,0.95745
Endometrial_thickness,TIMP2_MMP9_norm,MVP_KPYM_norm,0.95107,0.13131,0.98182,0.67273,0.97368,0.75000,0.25253,0.94545,0.81818,0.93750,0.83871,0.61616,0.81818,0.96364,0.84127,0.95745
Endometrial_thickness,MMP9_TIMP2_norm,AGRIN_PERM_norm,0.95074,0.06061,0.98276,0.41071,0.95833,0.63333,0.24242,0.94828,0.80357,0.93750,0.83333,0.47475,0.87931,0.94643,0.88333,0.94444
Endometrial_thickness,MMP9_TIMP2_norm,PERM_AGRIN_norm,0.95074,0.06061,0.98276,0.41071,0.95833,0.63333,0.24242,0.94828,0.80357,0.93750,0.83333,0.47475,0.87931,0.94643,0.88333,0.94444
Endometrial_thickness,AGRIN_PERM_norm,TIMP2_MMP9_norm,0.95074,0.06061,0.98276,0.41071,0.95833,0.63333,0.24242,0.94828,0.80357,0.93750,0.83333,0.47475,0.87931,0.94643,0.88333,0.94444
Endometrial_thickness,TIMP2_MMP9_norm,PERM_AGRIN_norm,0.95074,0.06061,0.98276,0.41071,0.95833,0.63333,0.24242,0.94828,0.80357,0.93750,0.83333,0.47475,0.87931,0.94643,0.88333,0.94444
Endometrial_thickness,MMP9_TIMP2_norm,AGRIN_CLIC1_norm,0.95045,0.13131,0.98246,0.57895,0.97059,0.70000,0.28283,0.94737,0.82456,0.94000,0.84375,0.45455,0.87719,0.92982,0.88333,0.92593
Endometrial_thickness,MMP9_TIMP2_norm,CLIC1_AGRIN_norm,0.95045,0.13131,0.98246,0.57895,0.97059,0.70000,0.28283,0.94737,0.82456,0.94000,0.84375,0.45455,0.87719,0.92982,0.88333,0.92593
Endometrial_thickness,AGRIN_CLIC1_norm,TIMP2_MMP9_norm,0.95045,0.13131,0.98246,0.57895,0.97059,0.70000,0.28283,0.94737,0.82456,0.94000,0.84375,0.45455,0.87719,0.92982,0.88333,0.92593
Endometrial_thickness,TIMP2_MMP9_norm,CLIC1_AGRIN_norm,0.95045,0.13131,0.98246,0.57895,0.97059,0.70000,0.28283,0.94737,0.82456,0.94000,0.84375,0.45455,0.87719,0.92982,0.88333,0.92593
