Biomarker_1,Biomarker_2,Biomarker_3,Biomarker_4,AUC,Sensitivity,Specificity,NPV,PPV,Best_Threshold
MMP9_HSPB1,ADIPOQ_HSPB1,TIMP-2_MMP9,AGRIN_MMP9,0.88052,0.98077,0.19149,0.9,0.57303,0.0101
ADIPOQ_PERM,TIMP-2_PERM,AGRIN_ADIPOQ,,0.88033,1.0,0.26531,1.0,0.55,0.0101
ADIPOQ_MMP9,TIMP-2_KPYM,AGRIN_TIMP-2,KPYM_ADIPOQ,0.88031,1.0,0.08333,1.0,0.53684,0.0101
ADIPOQ_KPYM,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88031,0.98039,0.22917,0.91667,0.57471,0.0101
MMP9_ADIPOQ,HSPB1_MMP9,TIMP-2_MMP9,KPYM_MMP9,0.88027,1.0,0.21277,1.0,0.57955,0.0101
MMP9_AGRIN,TIMP-2_MMP9,AGRIN_MMP9,KPYM_MMP9,0.88027,1.0,0.22642,1.0,0.57292,0.0101
HSPB1_MMP9,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88027,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_ADIPOQ,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.88027,1.0,0.21277,1.0,0.57955,0.0101
HSPB1_TIMP-2,TIMP-2_MMP9,AGRIN_MMP9,KPYM_ADIPOQ,0.88027,1.0,0.19149,1.0,0.57303,0.0101
HSPB1_TIMP-2,TIMP-2_MMP9,AGRIN_ADIPOQ,KPYM_MMP9,0.88027,1.0,0.21277,1.0,0.57955,0.0101
MMP9_AGRIN,HSPB1_KPYM,TIMP-2_KPYM,AGRIN_KPYM,0.88024,1.0,0.06522,1.0,0.56122,0.0101
MMP9_KPYM,HSPB1_MMP9,TIMP-2_MMP9,AGRIN_MMP9,0.88024,0.98182,0.17391,0.88889,0.58696,0.0101
MMP9_ADIPOQ,HSPB1_ADIPOQ,TIMP-2_KPYM,AGRIN_KPYM,0.88012,1.0,0.09091,1.0,0.56044,0.0101
HSPB1_PERM,ADIPOQ_HSPB1,TIMP-2_PERM,KPYM_ADIPOQ,0.8801,1.0,0.28889,1.0,0.57333,0.0101
